city,state_name,address,latitude,longitude
Knoxville,Tennessee,"Knoxville, Tennessee, USA",35.9606384,-83.9207392
Dallas,Texas,"Dallas, Texas, USA",32.7766642,-96.79698789999999
Houston,Texas,"Houston, Texas, USA",29.7604267,-95.3698028
San Antonio,Texas,"San Antonio, Texas, USA",29.4241219,-98.49362819999999
Salt Lake City,Utah,"Salt Lake City, Utah, USA",40.7607793,-111.8910474
Ogden,Utah,"Ogden, Utah, USA",41.223,-111.9738304
Provo,Utah,"Provo, Utah, USA",40.2338438,-111.6585337
Burlington,Vermont,"Burlington, Vermont, USA",44.4758825,-73.21207199999999
Barre,Vermont,"Barre, Vermont, USA",44.1970055,-72.50204939999999
South Burlington,Vermont,"South Burlington, Vermont, USA",44.4669941,-73.1709604
Charlotte Amalie,Virgin Islands,"Charlotte Amalie, Virgin Islands, USA",18.3419004,-64.9307007
Frederiksted,Virgin Islands,"Frederiksted, Virgin Islands, USA",17.7124746,-64.8815352
Cruz Bay,Virgin Islands,"Cruz Bay, Virgin Islands, USA",18.331343,-64.79374969999999
Virginia Beach,Virginia,"Virginia Beach, Virginia, USA",36.8529263,-75.97798499999999
Richmond,Virginia,"Richmond, Virginia, USA",37.5407246,-77.4360481
Norfolk,Virginia,"Norfolk, Virginia, USA",36.8507689,-76.28587259999999
Seattle,Washington,"Seattle, Washington, USA",47.6062095,-122.3320708
Spokane,Washington,"Spokane, Washington, USA",47.6587802,-117.4260465
Kennewick,Washington,"Kennewick, Washington, USA",46.2086683,-119.119948
Huntington,West Virginia,"Huntington, West Virginia, USA",38.4192496,-82.44515400000002
Charleston,West Virginia,"Charleston, West Virginia, USA",38.3498195,-81.6326234
Wheeling,West Virginia,"Wheeling, West Virginia, USA",40.0639616,-80.7209149
Milwaukee,Wisconsin,"Milwaukee, Wisconsin, USA",43.0389025,-87.9064736
Madison,Wisconsin,"Madison, Wisconsin, USA",43.0730517,-89.4012302
Appleton,Wisconsin,"Appleton, Wisconsin, USA",44.2619309,-88.41538469999999
Cheyenne,Wyoming,"Cheyenne, Wyoming, USA",41.1399814,-104.8202462
Casper,Wyoming,"Casper, Wyoming, USA",42.8500769,-106.3251749
Gillette,Wyoming,"Gillette, Wyoming, USA",44.2910915,-105.5022205
